--- NGROK LOGS ---
t=2026-04-23T14:47:41+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-23T14:47:41+0530 lvl=info msg="using configuration at default config path" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-23T14:47:41+0530 lvl=info msg="open config file" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-23T14:47:41+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-23T14:47:42+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-23T14:47:42+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://abrasion-gusto-shelving.ngrok-free.dev
t=2026-04-23T14:47:46+0530 lvl=info msg=start pg=/api/tunnels id=e3343a33352bfacc
t=2026-04-23T14:47:46+0530 lvl=info msg=end pg=/api/tunnels id=e3343a33352bfacc status=200 dur=145.375µs
t=2026-04-23T14:49:05+0530 lvl=info msg="join connections" obj=join id=67fa5f5f8819 l=127.0.0.1:8000 r=51.158.109.197:39688
t=2026-04-23T14:49:06+0530 lvl=info msg="join connections" obj=join id=05bb464b5a0a l=127.0.0.1:8000 r=51.158.109.197:57602
t=2026-04-23T14:49:08+0530 lvl=info msg="join connections" obj=join id=69ae3b4636a5 l=127.0.0.1:8000 r=51.158.109.197:38216
t=2026-04-23T14:49:09+0530 lvl=info msg="join connections" obj=join id=f5e043990994 l=127.0.0.1:8000 r=51.158.109.197:41536
t=2026-04-23T14:49:11+0530 lvl=info msg="join connections" obj=join id=6335cbdd8fbc l=127.0.0.1:8000 r=51.158.109.197:38230
t=2026-04-23T14:49:12+0530 lvl=info msg="join connections" obj=join id=c8af7e3303ee l=127.0.0.1:8000 r=51.158.109.197:54670
t=2026-04-23T14:49:14+0530 lvl=info msg="join connections" obj=join id=fa6004a4d43f l=127.0.0.1:8000 r=51.158.109.197:52894
t=2026-04-23T14:49:15+0530 lvl=info msg="join connections" obj=join id=9ddd4eeb6be9 l=127.0.0.1:8000 r=51.158.109.197:54680
t=2026-04-23T14:49:17+0530 lvl=info msg="join connections" obj=join id=1e08486360ef l=127.0.0.1:8000 r=51.158.109.197:46604
t=2026-04-23T14:49:18+0530 lvl=info msg="join connections" obj=join id=9849748b4d51 l=127.0.0.1:8000 r=51.158.109.197:50136
t=2026-04-23T14:49:19+0530 lvl=info msg="join connections" obj=join id=ac126b2e0dbe l=127.0.0.1:8000 r=51.158.109.197:59368
t=2026-04-23T14:49:21+0530 lvl=info msg="join connections" obj=join id=d6ad01ecbb58 l=127.0.0.1:8000 r=51.158.109.197:33062
t=2026-04-23T14:49:22+0530 lvl=info msg="join connections" obj=join id=7cd6e97f206c l=127.0.0.1:8000 r=51.158.109.197:60140
t=2026-04-23T14:49:24+0530 lvl=info msg="join connections" obj=join id=3e94c2faee1e l=127.0.0.1:8000 r=51.158.109.197:60144
t=2026-04-23T14:49:25+0530 lvl=info msg="join connections" obj=join id=723ad6664af8 l=127.0.0.1:8000 r=51.158.109.197:49270
t=2026-04-23T14:49:26+0530 lvl=info msg="join connections" obj=join id=3220e26deb5f l=127.0.0.1:8000 r=51.158.109.197:33076
t=2026-04-23T14:49:28+0530 lvl=info msg="join connections" obj=join id=39305b7e2193 l=127.0.0.1:8000 r=51.158.109.197:45288
t=2026-04-23T14:49:29+0530 lvl=info msg="join connections" obj=join id=59a2068e1f95 l=127.0.0.1:8000 r=51.158.109.197:60820
t=2026-04-23T14:49:30+0530 lvl=info msg="join connections" obj=join id=ad416ae1af9c l=127.0.0.1:8000 r=51.158.109.197:45300
t=2026-04-23T14:49:32+0530 lvl=info msg="join connections" obj=join id=0b18f2d504ad l=127.0.0.1:8000 r=51.158.109.197:38750
t=2026-04-23T14:49:33+0530 lvl=info msg="join connections" obj=join id=e6e53a91f309 l=127.0.0.1:8000 r=51.158.109.197:47596
t=2026-04-23T14:49:35+0530 lvl=info msg="join connections" obj=join id=8ca9d8739c89 l=127.0.0.1:8000 r=51.158.109.197:38764
t=2026-04-23T14:49:36+0530 lvl=info msg="join connections" obj=join id=31837ae01217 l=127.0.0.1:8000 r=51.158.109.197:38544
t=2026-04-23T14:49:37+0530 lvl=info msg="join connections" obj=join id=3ec386d285c0 l=127.0.0.1:8000 r=51.158.109.197:35336
t=2026-04-23T14:49:39+0530 lvl=info msg="join connections" obj=join id=4c36d1e49d68 l=127.0.0.1:8000 r=51.158.109.197:41744
t=2026-04-23T14:49:40+0530 lvl=info msg="join connections" obj=join id=5740be6a9bf6 l=127.0.0.1:8000 r=51.158.109.197:48534
t=2026-04-23T14:49:41+0530 lvl=info msg="join connections" obj=join id=196bb0748f0f l=127.0.0.1:8000 r=51.158.109.197:35346
t=2026-04-23T14:49:43+0530 lvl=info msg="join connections" obj=join id=d55d7d6dfba8 l=127.0.0.1:8000 r=51.158.109.197:49996
t=2026-04-23T14:49:44+0530 lvl=info msg="join connections" obj=join id=5c0a1e0609aa l=127.0.0.1:8000 r=51.158.109.197:54738
t=2026-04-23T14:49:46+0530 lvl=info msg="join connections" obj=join id=66ef33808794 l=127.0.0.1:8000 r=51.158.109.197:48536
t=2026-04-23T14:49:47+0530 lvl=info msg="join connections" obj=join id=69948033283f l=127.0.0.1:8000 r=51.158.109.197:56164
t=2026-04-23T14:49:48+0530 lvl=info msg="join connections" obj=join id=18346b1b7b5d l=127.0.0.1:8000 r=51.158.109.197:34740
t=2026-04-23T14:49:50+0530 lvl=info msg="join connections" obj=join id=d9c699ab13b6 l=127.0.0.1:8000 r=51.158.109.197:39042
t=2026-04-23T14:49:51+0530 lvl=info msg="join connections" obj=join id=58cf796e2f3e l=127.0.0.1:8000 r=51.158.109.197:55324
t=2026-04-23T14:49:53+0530 lvl=info msg="join connections" obj=join id=f278c1ea9adc l=127.0.0.1:8000 r=51.158.109.197:56440
t=2026-04-23T14:49:54+0530 lvl=info msg="join connections" obj=join id=aa243a8a861a l=127.0.0.1:8000 r=51.158.109.197:47412
t=2026-04-23T14:49:55+0530 lvl=info msg="join connections" obj=join id=133020dcbf3d l=127.0.0.1:8000 r=51.158.109.197:34750
t=2026-04-23T14:49:57+0530 lvl=info msg="join connections" obj=join id=2d945cd7395d l=127.0.0.1:8000 r=51.158.109.197:39050
t=2026-04-23T14:49:58+0530 lvl=info msg="join connections" obj=join id=0813b0610bd1 l=127.0.0.1:8000 r=51.158.109.197:33072
t=2026-04-23T14:49:59+0530 lvl=info msg="join connections" obj=join id=adb2189a1584 l=127.0.0.1:8000 r=51.158.109.197:50382
t=2026-04-23T14:50:01+0530 lvl=info msg="join connections" obj=join id=21487ea17bec l=127.0.0.1:8000 r=51.158.109.197:50394
t=2026-04-23T14:50:02+0530 lvl=info msg="join connections" obj=join id=c4cfad02714c l=127.0.0.1:8000 r=51.158.109.197:43402
t=2026-04-23T14:50:04+0530 lvl=info msg="join connections" obj=join id=051b79a7ff0d l=127.0.0.1:8000 r=51.158.109.197:52508
t=2026-04-23T14:50:05+0530 lvl=info msg="join connections" obj=join id=951f3b7fd781 l=127.0.0.1:8000 r=51.158.109.197:33078
t=2026-04-23T14:50:07+0530 lvl=info msg="join connections" obj=join id=8d7aace44d0c l=127.0.0.1:8000 r=51.158.109.197:34556
t=2026-04-23T14:50:08+0530 lvl=info msg="join connections" obj=join id=d82a43f95fda l=127.0.0.1:8000 r=51.158.109.197:53144
t=2026-04-23T14:50:09+0530 lvl=info msg="join connections" obj=join id=8be87a5bf0eb l=127.0.0.1:8000 r=51.158.109.197:53158
t=2026-04-23T14:50:11+0530 lvl=info msg="join connections" obj=join id=1a1d5198fe70 l=127.0.0.1:8000 r=51.158.109.197:46462
t=2026-04-23T14:50:12+0530 lvl=info msg="join connections" obj=join id=cee50449d04d l=127.0.0.1:8000 r=51.158.109.197:48822
t=2026-04-23T14:50:14+0530 lvl=info msg="join connections" obj=join id=5ec6bf70ec2b l=127.0.0.1:8000 r=51.158.109.197:58984
t=2026-04-23T14:50:15+0530 lvl=info msg="join connections" obj=join id=3075babd4159 l=127.0.0.1:8000 r=51.158.109.197:46464
t=2026-04-23T14:50:16+0530 lvl=info msg="join connections" obj=join id=064469536ddc l=127.0.0.1:8000 r=51.158.109.197:46470
t=2026-04-23T14:50:18+0530 lvl=info msg="join connections" obj=join id=22659fcb2c20 l=127.0.0.1:8000 r=51.158.109.197:52096
t=2026-04-23T14:50:19+0530 lvl=info msg="join connections" obj=join id=04cbbb777079 l=127.0.0.1:8000 r=51.158.109.197:55930
t=2026-04-23T14:50:21+0530 lvl=info msg="join connections" obj=join id=7f1623d04bc5 l=127.0.0.1:8000 r=51.158.109.197:60388
t=2026-04-23T14:50:22+0530 lvl=info msg="join connections" obj=join id=7024b88274c1 l=127.0.0.1:8000 r=51.158.109.197:55938
t=2026-04-23T14:50:23+0530 lvl=info msg="join connections" obj=join id=a0d7176a0261 l=127.0.0.1:8000 r=51.158.109.197:55954
t=2026-04-23T14:50:25+0530 lvl=info msg="join connections" obj=join id=95fd122213ae l=127.0.0.1:8000 r=51.158.109.197:40030
t=2026-04-23T14:50:26+0530 lvl=info msg="join connections" obj=join id=a6e24df41cee l=127.0.0.1:8000 r=51.158.109.197:40036
t=2026-04-23T14:50:28+0530 lvl=info msg="join connections" obj=join id=8cf92f30dd23 l=127.0.0.1:8000 r=51.158.109.197:42710
t=2026-04-23T14:50:29+0530 lvl=info msg="join connections" obj=join id=6f70a5dd8558 l=127.0.0.1:8000 r=51.158.109.197:35414
t=2026-04-23T14:50:30+0530 lvl=info msg="join connections" obj=join id=9de8ebc012f3 l=127.0.0.1:8000 r=51.158.109.197:60736
t=2026-04-23T14:50:32+0530 lvl=info msg="join connections" obj=join id=decc4456e341 l=127.0.0.1:8000 r=51.158.109.197:42716
t=2026-04-23T14:50:33+0530 lvl=info msg="join connections" obj=join id=7889cbe44596 l=127.0.0.1:8000 r=51.158.109.197:35420
t=2026-04-23T14:50:34+0530 lvl=info msg="join connections" obj=join id=2bcdc5c1eca2 l=127.0.0.1:8000 r=51.158.109.197:42836
t=2026-04-23T14:50:36+0530 lvl=info msg="join connections" obj=join id=23ed7bd39c98 l=127.0.0.1:8000 r=51.158.109.197:42838
t=2026-04-23T14:50:37+0530 lvl=info msg="join connections" obj=join id=2393970aeecb l=127.0.0.1:8000 r=51.158.109.197:36874
t=2026-04-23T14:50:38+0530 lvl=info msg="join connections" obj=join id=4da3682d09f9 l=127.0.0.1:8000 r=51.158.109.197:43010
t=2026-04-23T14:50:40+0530 lvl=info msg="join connections" obj=join id=286668959634 l=127.0.0.1:8000 r=51.158.109.197:47920
t=2026-04-23T14:50:41+0530 lvl=info msg="join connections" obj=join id=1bee834a3d6a l=127.0.0.1:8000 r=51.158.109.197:34000
t=2026-04-23T14:50:43+0530 lvl=info msg="join connections" obj=join id=97d27ec7a7fb l=127.0.0.1:8000 r=51.158.109.197:53646
t=2026-04-23T14:50:44+0530 lvl=info msg="join connections" obj=join id=31cee6c23b9b l=127.0.0.1:8000 r=51.158.109.197:36880
t=2026-04-23T14:50:45+0530 lvl=info msg="join connections" obj=join id=18e27515e47c l=127.0.0.1:8000 r=51.158.109.197:43026
